"SAMPLE DATA - invented players and values, for development only"
12 teams,$200 budget,PPR
Rank,Player,Team,Pos,Value,Pos Rank,Proj,Tier,Bye
85,Xavier Prenton,TEN,QB,$9,11,226.7,4,7
86,Devin Dorstone,ARI,RB,$9,33,192.0,5,11
87,Trey Dordale,ATL,RB,$9,34,188.0,5,12
88,Isaiah Randworth,PIT,TE,$9,9,245.3,3,9
89,Darius Kellstone,DAL,WR,$9,35,197.9,4,5
90,Kenneth Kelldale,DEN,WR,$9,36,194.4,4,6
91,Rashad Kellridge,DET,WR,$9,37,190.8,5,7
92,Jordan Prenley,WAS,QB,$8,12,217.3,4,8
93,Caleb Dorwell,BUF,RB,$8,36,180.0,5,14
94,Jalen Dorridge,BAL,RB,$8,35,184.0,5,13
95,Malik Randbury,SEA,TE,$8,10,236.0,4,10
96,Amari Lockford,HOU,WR,$8,39,183.6,5,9
97,Terrell Kellwell,GB,WR,$8,38,187.2,5,8
98,Cameron Prenson,ARI,QB,$7,13,208.0,5,9
99,Isaiah Ellisford,CAR,RB,$7,37,176.0,5,15
100,Malik Elliswood,CHI,RB,$7,38,172.0,5,16
101,Xavier Randstone,SF,TE,$7,11,226.7,4,11
102,Cedric Lockley,KC,WR,$7,42,172.8,5,12
103,Deonte Lockwood,IND,WR,$7,40,180.0,5,10
104,Josiah Lockton,JAX,WR,$7,41,176.4,5,11
105,Elijah Prenfield,ATL,QB,$6,14,198.7,5,10
106,Cameron Ellisson,DAL,RB,$6,41,160.0,6,6
107,Jordan Ellisley,CLE,RB,$6,40,164.0,5,5
108,Xavier Elliston,CIN,RB,$6,39,168.0,5,17
109,Jordan Randdale,TB,TE,$6,12,217.3,4,12
110,Bryce Lockson,LAC,WR,$6,43,169.2,5,13
111,Nico Lockfield,LAR,WR,$6,44,165.6,5,14
112,Quentin Lockworth,LV,WR,$6,45,162.1,5,15
113,Brandon Prenbury,BUF,QB,$5,16,180.0,6,12
114,Tyler Prenworth,BAL,QB,$5,15,189.3,5,11
115,Brandon Ellisbury,GB,RB,$5,44,148.0,6,9
116,Darius Ellisstone,HOU,RB,$5,45,144.0,6,10
117,Elijah Ellisfield,DEN,RB,$5,42,156.0,6,7
118,Tyler Ellisworth,DET,RB,$5,43,152.0,6,8
119,Cameron Randridge,TEN,TE,$5,13,208.0,5,13
120,Dallas Lockstone,MIN,WR,$5,47,154.9,6,17
121,Kyren Lockdale,NE,WR,$5,48,151.3,6,5
122,Rome Lockbury,MIA,WR,$5,46,158.5,6,16
123,Silas Lockridge,NO,WR,$5,49,147.7,6,6
124,Darius Prenstone,CAR,QB,$4,17,170.7,6,13
125,Amari Fennford,LAC,RB,$4,49,128.0,7,14
126,Kenneth Ellisdale,IND,RB,$4,46,140.0,6,11
127,Rashad Ellisridge,JAX,RB,$4,47,136.0,6,12
128,Terrell Elliswell,KC,RB,$4,48,132.0,6,13
129,Elijah Randwell,WAS,TE,$4,14,198.7,5,14
130,Tyler Sableford,ARI,TE,$4,15,189.3,5,15
131,Aaron Marsford,NYJ,WR,$4,51,140.5,6,8
132,Devin Marston,PIT,WR,$4,53,133.3,6,10
133,Emory Lockwell,NYG,WR,$4,50,144.1,6,7
134,Marcus Marswood,PHI,WR,$4,52,136.9,6,9
135,Amari Woldford,CAR,DST,$3,1,320.0,1,12
136,Kenneth Prendale,CHI,QB,$3,18,161.3,6,14
137,Rashad Prenridge,CIN,QB,$3,19,152.0,7,15
138,Terrell Prenwell,CLE,QB,$3,20,142.7,7,16
139,Bryce Fennson,MIN,RB,$3,53,112.0,7,5
140,Cedric Fennley,MIA,RB,$3,52,116.0,7,17
141,Deonte Fennwood,LAR,RB,$3,50,124.0,7,15
142,Josiah Fennton,LV,RB,$3,51,120.0,7,16
143,Nico Fennfield,NE,RB,$3,54,108.0,7,6
144,Quentin Fennworth,NO,RB,$3,55,104.0,7,7
145,Brandon Sablewood,ATL,TE,$3,16,180.0,6,16
146,Darius Sableton,BAL,TE,$3,17,170.7,6,17
147,Kenneth Sableley,BUF,TE,$3,18,161.3,6,5
148,Caleb Marsfield,TB,WR,$3,56,122.6,7,13
149,Isaiah Marsworth,TEN,WR,$3,57,119.0,7,14
150,Jalen Marsson,SF,WR,$3,55,126.2,7,12
151,Jordan Marsdale,ATL,WR,$3,60,108.2,7,17
152,Malik Marsbury,WAS,WR,$3,58,115.4,7,15
153,Trey Marsley,SEA,WR,$3,54,129.7,6,11
154,Xavier Marsstone,ARI,WR,$3,59,111.8,7,16
155,Cedric Woldley,CLE,DST,$2,4,278.0,2,15
156,Deonte Woldwood,CHI,DST,$2,2,306.0,1,13
157,Josiah Woldton,CIN,DST,$2,3,292.0,2,14
158,Emory Tamfield,LAR,K,$2,2,306.0,1,6
159,Silas Tamson,LAC,K,$2,1,320.0,1,5
160,Amari Quinford,DAL,QB,$2,21,133.3,7,17
161,Deonte Quinwood,DEN,QB,$2,22,124.0,8,5
162,Josiah Quinton,DET,QB,$2,23,114.7,8,6
163,Aaron Garrford,SF,RB,$2,61,80.0,8,13
164,Dallas Fennstone,NYJ,RB,$2,57,96.0,8,9
165,Devin Garrton,TEN,RB,$2,63,72.0,8,15
166,Emory Fennwell,SEA,RB,$2,60,84.0,8,12
167,Kyren Fenndale,PHI,RB,$2,58,92.0,8,10
168,Marcus Garrwood,TB,RB,$2,62,76.0,8,14
169,Rome Fennbury,NYG,RB,$2,56,100.0,7,8
170,Silas Fennridge,PIT,RB,$2,59,88.0,8,11
171,Amari Sableworth,CIN,TE,$2,21,133.3,7,8
172,Rashad Sableson,CAR,TE,$2,19,152.0,7,6
173,Terrell Sablefield,CHI,TE,$2,20,142.7,7,7
174,Amari Norworth,DET,WR,$2,69,75.9,8,13
175,Brandon Norwood,CHI,WR,$2,64,93.8,8,8
176,Cameron Marsridge,BAL,WR,$2,61,104.6,7,5
177,Darius Norton,CIN,WR,$2,65,90.3,8,9
178,Elijah Marswell,BUF,WR,$2,62,101.0,7,6
179,Kenneth Norley,CLE,WR,$2,66,86.7,8,10
180,Rashad Norson,DAL,WR,$2,67,83.1,8,11
181,Terrell Norfield,DEN,WR,$2,68,79.5,8,12
182,Tyler Norford,CAR,WR,$2,63,97.4,7,7
183,Aaron Ashford,LAC,DST,$1,13,152.0,7,11
184,Bryce Woldson,DAL,DST,$1,5,264.0,3,16
185,Caleb Ashfield,NE,DST,$1,18,82.0,8,16
186,Dallas Woldstone,HOU,DST,$1,9,208.0,5,7
187,Devin Ashton,LV,DST,$1,15,124.0,8,13
188,Emory Woldwell,KC,DST,$1,12,166.0,6,10
189,Isaiah Ashworth,NO,DST,$1,19,68.0,8,17
190,Jalen Ashson,MIN,DST,$1,17,96.0,8,15
191,Kyren Wolddale,IND,DST,$1,10,194.0,5,8
192,Malik Ashbury,NYG,DST,$1,20,54.0,8,5
193,Marcus Ashwood,LAR,DST,$1,14,138.0,7,12
194,Nico Woldfield,DEN,DST,$1,6,250.0,3,17
195,Quentin Woldworth,DET,DST,$1,7,236.0,4,5
196,Rome Woldbury,GB,DST,$1,8,222.0,4,6
197,Silas Woldridge,JAX,DST,$1,11,180.0,6,9
198,Trey Ashley,MIA,DST,$1,16,110.0,8,14
199,Aaron Tamworth,LV,K,$1,3,292.0,2,7
200,Brandon Vancebury,WAS,K,$1,16,110.0,8,7
201,Caleb Tamwell,NYG,K,$1,8,222.0,4,12
202,Cameron Vanceson,SF,K,$1,13,152.0,7,17
203,Darius Vancestone,ARI,K,$1,17,96.0,8,8
204,Devin Tamstone,MIN,K,$1,5,264.0,3,9
205,Elijah Vancefield,TB,K,$1,14,138.0,7,5
206,Isaiah Vanceford,NYJ,K,$1,9,208.0,5,13
207,Jalen Tamridge,NO,K,$1,7,236.0,4,11
208,Jordan Vanceley,SEA,K,$1,12,166.0,6,16
209,Kenneth Vancedale,ATL,K,$1,18,82.0,8,9
210,Malik Vancewood,PHI,K,$1,10,194.0,5,14
211,Marcus Tambury,MIA,K,$1,4,278.0,2,8
212,Rashad Vanceridge,BAL,K,$1,19,68.0,8,10
213,Terrell Vancewell,BUF,K,$1,20,54.0,8,11
214,Trey Tamdale,NE,K,$1,6,250.0,3,10
215,Tyler Vanceworth,TEN,K,$1,15,124.0,8,6
216,Xavier Vanceton,PIT,K,$1,11,180.0,6,15
217,Bryce Quinson,HOU,QB,$1,25,96.0,8,8
218,Cedric Quinley,GB,QB,$1,24,105.3,8,7
219,Dallas Quinstone,LAC,QB,$1,29,58.7,8,12
220,Kyren Quindale,LAR,QB,$1,30,49.3,8,13
221,Nico Quinfield,IND,QB,$1,26,86.7,8,9
222,Quentin Quinworth,JAX,QB,$1,27,77.3,8,10
223,Rome Quinbury,KC,QB,$1,28,68.0,8,11
224,Caleb Garrfield,ATL,RB,$1,66,60.0,8,5
225,Isaiah Garrworth,BAL,RB,$1,67,56.0,8,6
226,Jalen Garrson,ARI,RB,$1,65,64.0,8,17
227,Jordan Garrdale,CHI,RB,$1,70,44.0,8,9
228,Malik Garrbury,BUF,RB,$1,68,52.0,8,7
229,Trey Garrley,WAS,RB,$1,64,68.0,8,16
230,Xavier Garrstone,CAR,RB,$1,69,48.0,8,8
231,Bryce Sableridge,DET,TE,$1,25,96.0,8,12
232,Cedric Sabledale,DEN,TE,$1,24,105.3,8,11
233,Dallas Tamton,JAX,TE,$1,29,58.7,8,16
234,Deonte Sablebury,CLE,TE,$1,22,124.0,8,9
235,Josiah Sablestone,DAL,TE,$1,23,114.7,8,10
236,Kyren Tamley,KC,TE,$1,30,49.3,8,17
237,Nico Sablewell,GB,TE,$1,26,86.7,8,13
238,Quentin Tamford,HOU,TE,$1,27,77.3,8,14
239,Rome Tamwood,IND,TE,$1,28,68.0,8,15
240,Bryce Norridge,JAX,WR,$1,73,61.5,8,17
241,Cedric Nordale,IND,WR,$1,72,65.1,8,16
242,Dallas Orrton,LV,WR,$1,77,47.2,8,8
243,Deonte Norbury,GB,WR,$1,70,72.3,8,14
244,Josiah Norstone,HOU,WR,$1,71,68.7,8,15
245,Kyren Orrley,MIA,WR,$1,78,43.6,8,9
246,Nico Norwell,KC,WR,$1,74,57.9,8,5
247,Quentin Orrford,LAC,WR,$1,75,54.4,8,6
248,Rome Orrwood,LAR,WR,$1,76,50.8,8,7
